tanzania	B-LOC
fi	O
ajijagbara	O
omo	O
orile-edee	O
uganda	B-LOC
si	O
atimole	O
won	O
si	O
le	O
e	O
kuro	O
niluu	O
.	O
	
wairagala	B-PER
wakabi	I-PER
,	O
agba	O
oje	O
ajafetoo	O
ero	O
ayarabiasa	O
ti	O
o	O
wa	O
lati	O
uganda	B-LOC
,	O
di	O
eni	O
atimole	O
ni	O
papako	O
ofuurufu	O
julius	B-LOC
nyerere	I-LOC
international	I-LOC
airport	I-LOC
ni	O
dar	B-LOC
es	I-LOC
salaam	I-LOC
,	O
tanzania	B-LOC
lojo	B-DATE
25	I-DATE
osu	I-DATE
igbe	I-DATE
.	O
	
a	O
fi	O
iwe	O
pe	O
wakabi	B-PER
ki	O
o	O
wa	O
a	O
soro	O
nibi	O
eto	O
ayajo	O
awon	O
olugbeja	O
eto	O
omoniyan	O
ni	O
tanzania	B-LOC
olodoodun	O
ti	O
agbarijo	O
olugbeja	O
eto	O
omoniyan	O
ti	O
tanzania	B-LOC
(	O
thrdc	B-ORG
)	O
je	O
olugbalejo	O
.	O
	
wakabi	B-PER
ni	O
oludari	O
agba	O
ifowosowopo	O
eto-imulo	O
imo-ero	O
gbogboogbo	O
fun	O
ila-oorun	O
ati	O
guusu	O
ile	O
adulawo	O
(	O
cipesa	B-ORG
)	O
,	O
okan	O
gboogi	O
ninu	O
ile-ise	O
ti	O
o	O
n	O
se	O
eto	O
ti	O
o	O
da	O
lori	O
eto-imulo	O
ero	O
ayelujara	O
ati	O
ominira	O
oro	O
siso	O
ni	O
ori	O
ayelujara	O
ni	O
ile	B-LOC
adulawo	I-LOC
.	O
	
leyin	O
opolopo	O
wakati	O
ti	O
a	O
fi	O
oro	O
wa	O
wakabi	B-PER
lenu	O
wo	O
,	O
ti	O
won	O
ko	O
si	O
je	O
ki	O
o	O
ri	O
agbejoro	O
,	O
a	O
da	O
a	O
pada	O
si	O
uganda	B-LOC
.	O
	
awon	O
asoju	O
lati	O
agbarijo	O
olugbeja	O
eto	O
omoniyan	O
gbiyanju	O
lati	O
ja	O
fun	O
un	O
amo	O
a	O
so	O
fun	O
won	O
wipe	O
fun	O
""""""""""	O
anfaani	O
""""""""""	O
ilu	O
ni	O
a	O
fi	O
da	O
wakabi	B-PER
pada	O
si	O
iluu	O
re	O
:	O
	
bi	O
o	O
ti	O
le	O
je	O
pe	O
isele	O
naa	O
ko	O
ju	O
wakati	O
die	O
lo	O
o	O
mu	O
ijaya	O
nla	O
ba	O
awon	O
ajafetoo	O
ni	O
agbegbe	O
naa	O
,	O
ti	O
oran	O
iwa	O
aito	O
ti	O
orile-edee	O
tanzania	B-LOC
n	O
wu	O
si	O
awon	O
ajijagbara	O
ati	O
onise-iroyin	O
n	O
peleke	O
si	O
i	O
.	O
	
ninu	O
osu	B-DATE
belu	I-DATE
odun	O
ti	O
o	O
re	O
koja	O
,	O
awon	O
osise	O
igbimo	O
ti	O
o	O
n	O
daabo	O
bo	O
onise-iroyin	O
,	O
angela	B-PER
quintal	I-PER
ati	O
muthoki	B-PER
mumo	I-PER
di	O
eni	O
atimole	O
fun	O
opo	O
wakati	O
ni	O
dar	B-LOC
es	I-LOC
salaam	I-LOC
,	O
tanzania	B-LOC
,	O
ti	O
iwe	O
eri	O
omo-ilu-fun-irinnaa	O
won	O
di	O
gbigba	O
lowoo	O
won	O
.	O
	
human	B-ORG
rights	I-ORG
watch	I-ORG
so	O
wipe	O
labe	O
isakoso	O
ijoba	O
aare	O
john	B-PER
magufuli	I-PER
tanzania	B-LOC
ti	O
ri	O
""""""""""	O
iresile	O
ibowo	O
fun	O
ominira	O
oro	O
siso	O
,	O
ikegbe	O
ati	O
apejo	O
de	O
oju	O
ami	O
""""""""""	O
.	O
	
ni	O
odun-un	B-DATE
2015	I-DATE
,	O
orileede	O
olominira	O
isokan	O
tanzania	B-LOC
kede	O
igbese	O
irufin	O
ori	O
ero	O
ayelujara	O
.	O
	
ni	O
aarin	O
odun	O
kan	O
ti	O
a	O
kede	O
ofin	O
yen	O
,	O
o	O
ti	O
to	O
bi	O
omo	O
orile	O
edee	O
tanzania	B-LOC
14	O
ti	O
ofin	O
ti	O
mu	O
ti	O
a	O
si	O
ti	O
dalejo	O
labe	O
ofin	O
fun	O
pe	O
won	O
soro	O
mosaasi	O
si	O
aare	O
lori	O
ero	O
alatagba	O
.	O
	
pepeye	O
gbe	O
omo	O
pon	O
ninu	O
osu	B-DATE
erena	I-DATE
odun-un	I-DATE
2018	I-DATE
nigbati	O
a	O
gba	O
ilana	O
ero	O
ayarabiasa	O
(	O
(ohun	O
ori	O
ayelujara	O
)	O
ati	O
itakuroso	O
ifiweranse	O
wole	O
ti	O
o	O
mu	O
un	O
ni	O
tulaasi	O
fun	O
awon	O
akobuloogu	O
lati	O
fi	O
oruko	O
sile	O
ti	O
won	O
a	O
si	O
san	O
owo	O
ori	O
ti	O
o	O
to	O
bii	O
us	B-LOC
$900	O
lodun	O
ki	O
won	O
o	O
to	O
le	O
gbe	O
atejade	O
si	O
ori	O
ayelujara	O
.	O
	
eyi	O
mu	O
ki	O
opolopo	O
buloogu	O
aladaaduro	O
o	O
wo	O
okunkun	O
.	O
	
ipalenumo	O
ileese	O
akoroyin	O
aladaaduro	O
nipase	O
awon	O
adalu	O
isiwee	O
fun	O
ile	O
ise	O
akoroyin	O
ati	O
irokeke	O
mo	O
onise-iroyin	O
ti	O
di	O
ideruba	O
,	O
ikora-eni-ni-ijanu	O
ati	O
iberu	O
lati	O
so	O
ero	O
okan	O
eni	O
nipa	O
awon	O
olori	O
orile	O
ede	O
naa	O
.	O
	
atimole	O
ati	O
idapada	O
wakabi	B-PER
si	O
uganda	B-LOC
je	O
itesiwaju	O
idoju-ija-ko	O
ominira	O
oro	O
toun	O
ero	O
okan	O
eni	O
ni	O
tanzania	B-LOC
.	O
	
burundi	B-LOC
:	O
	
ko	O
ikokuko	O
sori	O
aworan	O
aare	O
ki	O
o	O
wewon	O
.	O
	
akekoo	O
mefa	O
di	O
eni	O
atimole	O
lojo	B-DATE
isegun	I-DATE
12	I-DATE
,	I-DATE
osu	I-DATE
erena	I-DATE
ni	O
agbegbe	O
kirundo	B-LOC
ni	O
ariwa	O
ila-oorun	O
burundi	B-LOC
fun	O
esun-un	O
kiko	O
ikokuko	O
sori	O
aworan	O
aare	O
pierre	B-PER
nkurunziza	I-PER
ninu	O
awon	O
iwe	O
ikoni	O
marun-un	O
.	O
	
won	O
fi	O
esun	O
""""""""""	O
tita	O
abuku	O
ba	O
aare	O
orile-ede	O
""""""""""	O
kan	O
awon	O
akekoo	O
naa	O
.	O
	
egbe	O
awon	O
ajo	O
ti	O
o	O
n	O
se	O
amojuto	O
iwalalaafia	O
awon	O
omode	O
ni	O
burundi	B-LOC
jabo	O
pe	O
won	O
ti	O
fi	O
akekoo	O
kan	O
ti	O
o	O
je	O
omo	O
odun	O
metala	O
sile	O
lesekese	O
nitori	O
pe	O
o	O
si	O
kere	O
,	O
ko	O
si	O
ti	O
i	O
to	O
odun	O
meedogun	O
.	O
	
won	O
jabo	O
pe	O
won	O
se	O
idasile	O
awon	O
akekoo	O
meta	O
lojo	B-DATE
eti	I-DATE
,	I-DATE
15	I-DATE
osu	I-DATE
erena	I-DATE
sugbon	O
awon	O
meta	O
yooku	O
si	O
wa	O
ni	O
atimole	O
.	O
	
awon	O
omo	O
naa	O
ti	O
won	O
ko	O
ju	O
omo	O
odun	O
15	O
si	O
17	O
yoo	O
se	O
ewon	O
odun	O
marun-un	O
bi	O
won	O
ba	O
jebi	O
esun	O
itabuku	O
ba	O
aare	O
orile-ede	O
.	O
	
iwe	O
iroyin	O
iwacu	B-ORG
jabo	O
pe	O
awon	O
idile	O
ti	O
oro	O
naa	O
kan	O
wa	O
ninu	O
idaamu	O
gidi	O
